#name	taxonomy_id
Spiny chromis	80966
Panda	9646
Midas cichlid	61819
Clown anemonefish	80972
Orange clownfish	161767
Climbing perch	64144
Duck	8840
Anole lizard	28377
Pink-footed goose	132585
Ma's night monkey	37293
Great spotted kiwi	8823
Little spotted kiwi	8824
Okarito brown kiwi	308060
Eastern happy	8154
Mexican tetra	7994
Pachon cavefish	7994
Siamese fighting fish	158456
American bison	43346
Hybrid - Bos Indicus	30522
Wild yak	72004
Cow	9913
Hybrid - Bos Taurus	30522
Caenorhabditis elegans	6239
Ruff	198806
Spoon-billed sandpiper	425635
Marmoset	9483
Elephant shark	7868
Dog	9615
Dingo	286419
Goat	9925
Tarsier	1868482
American beaver	51338
Brazilian guinea pig	37548
Guinea Pig	10141
Capuchin	1737458
Sooty mangabey	9531
Abingdon island giant tortoise	106734
Long-tailed chinchilla	34839
Vervet-AGM	60711
Sloth	9358
Painted turtle	8478
C.intestinalis	7719
C.savignyi	51511
Atlantic herring	7950
Angola colobus	336983
Channel bull blenny	56716
Japanese quail	93934
Chinese hamster CHOK1GS	10029
Chinese hamster CriGri	10029
Chinese hamster PICR	10029
Australian saltwater crocodile	8502
Blue tit	156563
Tongue sole	244447
Sheepshead minnow	28743
Zebrafish	7955
Armadillo	9361
Denticle herring	299321
Kangaroo rat	10020
Emu	8790
Drosophila melanogaster	7227
Lesser hedgehog tenrec	9371
Electric eel	8005
Hagfish	7764
Donkey	83772
Horse	9796
Hedgehog	9365
Reedfish	27687
Northern pike	8010
Cat	9685
Flycatcher	59894
Damara mole rat	885580
Mummichog	8078
Cod	8049
Chicken	9031
Western mosquitofish	33528
Stickleback	69293
Agassiz's desert tortoise	38772
Gorilla	9595
Blunt-snouted clingfish	441366
Burton's mouthbrooder	8153
Naked mole-rat female	10181
Naked mole-rat male	10181
Tiger tail seahorse	109280
Human	9606
Huchen	62062
Channel catfish	7998
Squirrel	43179
Lesser Egyptian jerboa	51337
Dark-eyed junco	40217
Mangrove rivulus	37003
Ballan wrasse	56723
Large yellow croaker	215358
Barramundi perch	8187
Coelacanth	7897
Blue-crowned manakin	321398
Spotted gar	7918
Bengalese finch	299123
Elephant	9785
Crab-eating macaque	9541
Macaque	9544
Pig-tailed macaque	9545
Golden-collared manakin	328815
Drill	9568
Alpine marmot	9994
