species	ensembl_assembly_accession	assembly_status
methanobacterium_bryantii_gca_002287175	GCA_002287175.1	Contig
methanobacterium_formicicum_gca_000762265	GCA_000762265.1	Complete Genome
methanobacterium_formicicum_gca_000953115	GCA_000953115.1	Complete Genome
methanobacterium_formicicum_gca_001458655	GCA_001458655.1	Complete Genome
methanobrevibacter_smithii_gca_002813085	GCA_002813085.1	Complete Genome
methanohalophilus_halophilus_gca_001889405	GCA_001889405.1	Complete Genome
methanohalophilus_halophilus_gca_003722055	GCA_003722055.1	Contig
methanohalophilus_halophilus_gca_900106905	GCA_900106905.1	Contig
methanosarcina_mazei_gca_000978935	GCA_000978935.1	Scaffold
methanosarcina_mazei_gca_000978945	GCA_000978945.1	Scaffold
methanosarcina_mazei_gca_000978955	GCA_000978955.1	Scaffold
methanosarcina_mazei_gca_000978965	GCA_000978965.1	Scaffold
methanosarcina_mazei_gca_000979015	GCA_000979015.1	Scaffold
methanosarcina_mazei_gca_000979025	GCA_000979025.1	Scaffold
methanosarcina_mazei_gca_000979035	GCA_000979035.1	Scaffold
methanosarcina_mazei_gca_000979045	GCA_000979045.1	Scaffold
methanosarcina_mazei_gca_000979095	GCA_000979095.1	Scaffold
methanosarcina_mazei_gca_000979105	GCA_000979105.1	Scaffold
methanosarcina_mazei_gca_000979115	GCA_000979115.1	Scaffold
methanosarcina_mazei_gca_000979125	GCA_000979125.1	Scaffold
methanosarcina_mazei_gca_000979175	GCA_000979175.1	Scaffold
methanosarcina_mazei_gca_000979185	GCA_000979185.1	Scaffold
methanosarcina_mazei_gca_000979195	GCA_000979195.1	Scaffold
methanosarcina_mazei_gca_000979205	GCA_000979205.1	Scaffold
methanosarcina_mazei_gca_000979255	GCA_000979255.1	Scaffold
methanosarcina_mazei_gca_000979265	GCA_000979265.1	Scaffold
methanosarcina_mazei_gca_000979275	GCA_000979275.1	Scaffold
methanosarcina_mazei_gca_000979335	GCA_000979335.1	Scaffold
methanosarcina_mazei_gca_000979345	GCA_000979345.1	Scaffold
methanosarcina_mazei_gca_000979375	GCA_000979375.1	Scaffold
methanosarcina_mazei_gca_000979495	GCA_000979495.1	Scaffold
methanosarcina_mazei_gca_000979505	GCA_000979505.1	Scaffold
methanosarcina_mazei_gca_000979515	GCA_000979515.1	Scaffold
methanosarcina_mazei_gca_000979555	GCA_000979555.1	Scaffold
